latitude,longitude,name,kecamatan,wilayah
-7.3181314,112.7514357,SPBU 54.602.57,Tenggilis Mejoyo,Surabaya Timur
-7.3219237,112.7853562,SPBU Pertamina 54.601.85 - Pandugo,Rungkut,Surabaya Timur
-7.3334928,112.7939295,SPBU Pertamina 54.602.60,Gunung Anyar,Surabaya Timur
-7.2580409,112.7826281,SPBU Pertamina 54.601.113 - MERR Kalijudan,Mulyorejo,Surabaya Timur
-7.2577725,112.7275852,SPBU Pertamina 54.60123,Sawahan,Surabaya Selatan
-7.258583,112.773882,Pertamina Gas Station,Tambaksari,Surabaya Timur
-7.2604778,112.7543277,SPBU Pertamina 54.601.43 Tapak Siring,Tambaksari,Surabaya Timur
-7.278574,112.7555708,SPBU Pertamina 54.602.30,Gubeng,Surabaya Timur
-7.2987865,112.7608281,Pertamina Gas Station,Gubeng,Surabaya Timur
-7.3183114,112.7454352,Pertamina Gas Station 54.601.111,Wonocolo,Surabaya Selatan
-7.2230373,112.7317735,SPBU Perak Barat 54.601.18 Surabaya,Krembangan,Surabaya Utara
-7.2136924,112.7242926,SPBU Pertamina 54.601.05,Krembangan,Surabaya Utara
-7.2325126,112.7209527,SPBU Pertamina 54.601.19,Krembangan,Surabaya Utara
