999999,10175,6271,8366,7060,2780,5392,6352,4033,2079,3480,9941,5267,3972,3046,10069,7961,6281,6809,4205,6042,10180,4841,6805,8397,8247,9326,9991,8706,13444,11480,6897,5362,4664,8741,9371,9315,10185,11365,11228,13312,14360,15971,20488,18469,11189,11370,8544,8616,10320,8402,6489,9177,8325,6590,16919,17240,15596,10878,12687,13841,15315,12430,11732,13715,10132,6789,6832,4041,6290,8543,13982,7412,11052,7921,5990,3496,3619,13043,14458,10904
10769,999999,4267,4184,4516,9922,6816,6988,8446,8610,8206,6023,5464,6769,7798,6229,8620,8012,10158,8833,12291,6153,9675,10701,15862,10429,14721,18531,14452,12999,2348,16992,10985,9390,10016,10278,18910,19780,17112,20653,22737,19026,20638,22513,27894,20784,20407,12475,12547,21818,14149,12235,19271,18419,16685,26344,19265,9532,7047,12243,2636,10515,14455,12614,9884,10172,9873,11493,10109,8380,10633,4295,11343,4873,6583,7062,7786,10872,11720,13135,13637
6111,4206,999999,1290,1456,5447,2724,4095,5553,4134,5072,3677,2403,3273,3322,7974,6799,5119,5647,5939,9398,7899,6782,7807,9399,9916,10327,11029,11559,11214,5511,12517,6509,6256,8700,9764,14935,15805,14218,12265,14349,15362,13857,24258,19507,16808,12408,9581,9653,11358,11255,9342,14796,13944,12210,17957,21010,11277,8792,13988,5991,12260,16200,14359,11629,9658,6813,8433,5633,5319,7572,5521,8413,5416,5286,4168,3419,6395,13465,14880,11906
6785,4126,2255,999999,3012,5938,2832,3004,4462,4516,5454,2587,3959,4959,3704,7894,5708,4028,4556,4848,8307,6126,5691,6716,8309,8825,9237,9938,10468,10123,5432,13008,6891,6638,7609,8673,14926,15796,13127,11174,13259,14271,12766,20399,18416,16800,11317,8490,8563,10267,10165,8251,15287,14435,12701,16866,17151,11197,8712,10013,5912,12181,12341,10384,11550,8567,8369,8956,6015,6875,9128,5442,7323,5337,4195,3077,3802,6778,13386,14801,10815
6985,4065,1502,2546,999999,6321,3368,5351,5634,5007,4603,4386,1861,3166,4195,7833,8055,6374,6903,7195,12535,7758,8037,9063,10655,11171,11583,12284,12814,14604,4616,13390,7383,5788,9955,11020,15809,16679,15474,13521,15605,20631,22242,24117,20762,17682,13663,10837,10909,12613,12511,10597,15670,14818,13084,19212,20869,11136,8651,13847,5851,12120,16059,14218,11488,10914,6271,7890,6507,4777,7030,5381,9669,5275,6541,4305,4409,7269,13324,14740,15241
909,8662,5732,5755,6400,999999,2781,3741,1421,2857,4258,7330,6044,4750,3824,7458,5350,3669,4198,4439,6276,7569,5075,7039,8632,8481,9560,10226,8940,9764,9967,7131,5596,5442,8975,8315,9550,10420,11600,11462,13546,14594,16205,20722,18704,11423,11605,8778,8850,10555,8637,6723,9411,8559,6825,17154,17475,12985,8267,12921,11230,11736,12664,11966,11104,8209,7567,7067,4819,7068,9321,11371,7646,8441,5310,3379,2342,3853,13277,14693,11138
4034,6217,2608,3311,3277,3187,999999,3003,2996,2684,3622,4677,3788,3126,1872,7923,5815,4134,4663,4729,7492,8034,6291,6597,8190,8931,9118,9819,10156,10229,7522,10257,5059,4806,6837,8780,12675,13545,12815,11055,13140,14152,12647,20280,18297,14549,11198,8371,8444,10148,9853,7939,12536,11684,9950,16747,17032,13450,8732,10120,8002,12201,12222,10491,11569,8674,6931,7124,4183,6432,8685,7533,7204,7427,4572,1881,1425,4945,11155,12571,10696
3873,7790,4860,4884,5528,3025,2694,999999,1627,5821,7221,5079,6526,5864,4610,5207,3099,1419,1947,2014,5472,5319,2856,3882,5474,6216,6402,7103,7633,7514,9095,10095,8560,8406,4121,6064,12091,12961,10293,8340,10424,11436,9931,17565,15581,13965,8482,5656,5728,7432,7330,5416,12375,11523,9788,14031,14317,10734,6016,7404,8979,9485,9506,7775,8853,5958,10531,10030,7783,10032,12285,9121,4488,6190,3059,2507,4163,6817,8440,9855,7980
2676,8086,5156,5179,5824,1829,2543,3165,999999,4624,6025,6754,5329,4667,3413,6882,4774,2144,3622,2092,5551,6993,2934,4899,6491,6341,7419,8085,8215,11537,9391,8898,7363,7209,6834,7464,12673,13543,10874,9322,11406,12453,14065,18582,16563,14547,9464,6638,6710,8414,7911,5998,11178,10326,8592,15013,15334,12409,7691,10781,10654,11160,10524,9826,10528,7633,9334,8833,6586,8835,11088,10795,5505,7865,4734,2803,2966,5620,11137,12552,8998
2009,8127,4223,5053,5012,3359,2789,5111,4580,999999,1432,6419,3219,1924,998,10616,8508,6828,7356,6186,8023,10728,6822,8786,10378,10228,11306,11972,10687,15425,9432,8878,2869,2616,10722,11352,11296,12166,13346,13209,15293,16341,17952,22469,20450,13170,13351,10525,10597,12301,10383,8470,11157,10306,8571,18900,19221,16143,11425,14668,9912,17296,14411,13713,14262,12113,4741,4935,1993,4242,6495,9442,9392,9337,8468,4120,1448,2756,15024,16439,12885
